timestamp,sensorId,room,temperature,humidity,noise,pressure,CO2,comfortLevel
2025-09-26 06:42:11+00:00,70:ee:50:77:a4:32,Lab 2.2,22.3,52.0,51.0,1018.3,400.0,3
2025-09-26 06:43:35+00:00,70:ee:50:77:a4:32,Lab 2.2,22.3,52.0,54.0,1018.3,377.0,3
2025-09-26 07:30:56+00:00,70:ee:50:77:a4:32,Lab 2.2,22.6,53.0,54.0,1018.3,411.0,3
2025-09-26 07:48:23+00:00,70:ee:50:77:a4:32,Lab 2.2,22.7,53.0,58.0,1018.4,472.0,3
2025-09-26 08:04:39+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,64.0,1018.3,583.0,4
2025-09-26 08:05:44+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,64.0,1018.3,583.0,4
2025-09-26 08:06:03+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,64.0,1018.3,583.0,3
2025-09-26 08:06:23+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,64.0,1018.3,583.0,4
2025-09-26 08:06:40+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,64.0,1018.3,583.0,3
2025-09-26 08:07:00+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,67.0,1018.4,583.0,4
2025-09-26 08:07:11+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,67.0,1018.4,583.0,4
2025-09-26 08:09:08+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,67.0,1018.4,583.0,4
2025-09-26 08:09:17+00:00,70:ee:50:77:a4:32,Lab 2.2,23.0,53.0,67.0,1018.4,583.0,4
2025-09-26 08:10:21+00:00,70:ee:50:77:a4:32,Lab 2.2,23.2,53.0,65.0,1018.4,636.0,4
2025-09-26 08:11:55+00:00,70:ee:50:77:a4:32,Lab 2.2,23.2,53.0,65.0,1018.4,636.0,4
2025-09-26 08:12:07+00:00,70:ee:50:77:a4:32,Lab 2.2,23.2,53.0,65.0,1018.4,636.0,5
2025-09-26 08:12:09+00:00,70:ee:50:77:a4:32,Lab 2.2,23.2,53.0,65.0,1018.4,636.0,4
2025-09-26 08:12:23+00:00,70:ee:50:77:a4:32,Lab 2.2,23.2,53.0,65.0,1018.4,636.0,4
2025-09-26 08:17:55+00:00,70:ee:50:77:a4:32,Lab 2.2,23.3,53.0,66.0,1018.4,666.0,3
2025-09-26 08:19:27+00:00,70:ee:50:77:a4:32,Lab 2.2,23.3,53.0,66.0,1018.4,666.0,3
2025-09-26 08:20:03+00:00,70:ee:50:77:a4:32,Lab 2.2,23.5,53.0,64.0,1018.4,690.0,3
2025-09-26 08:23:58+00:00,70:ee:50:77:a4:32,Lab 2.2,23.5,53.0,64.0,1018.4,690.0,2
2025-09-26 08:24:22+00:00,70:ee:50:77:a4:32,Lab 2.2,23.5,53.0,64.0,1018.4,690.0,4
2025-09-26 08:26:14+00:00,70:ee:50:77:a4:32,Lab 2.2,23.6,53.0,63.0,1018.4,724.0,4
2025-09-26 08:26:48+00:00,70:ee:50:77:a4:32,Lab 2.2,23.6,53.0,63.0,1018.4,724.0,3
2025-09-26 08:26:59+00:00,70:ee:50:77:a4:32,Lab 2.2,23.6,53.0,63.0,1018.4,724.0,2
2025-09-26 08:31:03+00:00,70:ee:50:77:a4:32,Lab 2.2,23.8,53.0,61.0,1018.5,714.0,3
2025-09-26 08:31:37+00:00,70:ee:50:77:a4:32,Lab 2.2,23.8,53.0,61.0,1018.5,714.0,3
2025-09-26 08:32:14+00:00,70:ee:50:77:a4:32,Lab 2.2,23.8,53.0,61.0,1018.5,714.0,3
2025-09-26 08:35:43+00:00,70:ee:50:77:a4:32,Lab 2.2,24.1,52.0,62.0,1018.4,737.0,3
2025-09-26 08:37:00+00:00,70:ee:50:77:a4:32,Lab 2.2,24.1,52.0,62.0,1018.4,737.0,4
2025-09-26 08:46:38+00:00,70:ee:50:77:a4:32,Lab 2.2,24.5,52.0,61.0,1018.4,759.0,4
2025-09-26 08:47:22+00:00,70:ee:50:77:a4:32,Lab 2.2,24.5,52.0,61.0,1018.4,759.0,5
2025-09-26 08:47:32+00:00,70:ee:50:77:a4:32,Lab 2.2,24.5,52.0,61.0,1018.4,759.0,4
2025-09-26 08:50:53+00:00,70:ee:50:77:a4:32,Lab 2.2,24.7,52.0,61.0,1018.4,773.0,5
2025-09-26 08:51:34+00:00,70:ee:50:77:a4:32,Lab 2.2,24.7,52.0,61.0,1018.4,773.0,4
2025-09-26 08:51:50+00:00,70:ee:50:77:a4:32,Lab 2.2,24.7,52.0,61.0,1018.4,773.0,3
2025-09-26 08:56:20+00:00,70:ee:50:77:a4:32,Lab 2.2,24.8,51.0,61.0,1018.5,763.0,4
2025-09-26 08:56:51+00:00,70:ee:50:77:a4:32,Lab 2.2,24.8,51.0,61.0,1018.5,763.0,4
2025-09-26 08:57:08+00:00,70:ee:50:77:a4:32,Lab 2.2,24.8,51.0,61.0,1018.5,763.0,5
2025-09-26 08:57:55+00:00,70:ee:50:77:a4:32,Lab 2.2,24.8,51.0,61.0,1018.5,763.0,3
2025-09-26 09:00:34+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,3
2025-09-26 09:00:36+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,3
2025-09-26 09:00:42+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,4
2025-09-26 09:00:48+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,5
2025-09-26 09:02:29+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,4
2025-09-26 09:02:55+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,3
2025-09-26 09:03:20+00:00,70:ee:50:77:a4:32,Lab 2.2,24.9,51.0,61.0,1018.4,779.0,5
2025-09-26 09:12:58+00:00,70:ee:50:77:a4:32,Lab 2.2,25.2,50.0,62.0,1018.4,751.0,3
2025-09-26 09:33:14+00:00,70:ee:50:77:a4:32,Lab 2.2,25.3,50.0,62.0,1018.5,686.0,3
