timestamp,Temperature,Humidity,CO2,Noise,Pressure
2026-01-01 00:02:30,18.4,56,1760,47,1007.6
2026-01-01 00:12:30,18.3,56,1762,39,1007.5
2026-01-01 00:17:30,18.3,57,1722,34,1007.5
2026-01-01 00:22:30,18.2,57,1793,32,1007.6
2026-01-01 00:27:30,18.2,57,1731,35,1007.5
2026-01-01 00:32:30,18.2,57,1774,32,1007.5
2026-01-01 00:37:30,18.2,57,1765,32,1007.4
2026-01-01 00:42:30,18.1,57,1728,32,1007.4
2026-01-01 00:47:30,18.1,57,1752,32,1007.4
2026-01-01 00:52:30,18.1,57,1731,32,1007.3
2026-01-01 00:57:30,18.1,57,1746,32,1007.3
2026-01-01 01:02:30,18.0,57,1713,34,1007.2
2026-01-01 01:07:30,18.0,57,1728,35,1007.2
2026-01-01 01:22:30,18.0,57,1731,34,1007.2
2026-01-01 01:27:30,18.0,57,1731,32,1007.1
2026-01-01 01:42:30,17.9,57,1730,32,1007.1
2026-01-01 01:47:30,17.9,58,1724,32,1007.2
2026-01-01 01:52:30,17.8,58,1711,32,1007.2
2026-01-01 01:57:30,17.8,58,1735,32,1007.2
2026-01-01 02:02:30,17.8,58,1711,32,1007.3
2026-01-01 02:07:30,17.8,58,1743,32,1007.4
2026-01-01 02:12:30,17.8,58,1714,33,1007.4
2026-01-01 02:17:30,17.7,58,1696,34,1007.4
2026-01-01 02:22:30,17.7,58,1714,34,1007.4
2026-01-01 02:27:30,17.7,58,1699,34,1007.4
2026-01-01 02:32:30,17.7,58,1726,33,1007.4
2026-01-01 02:37:30,17.7,58,1693,32,1007.4
2026-01-01 02:42:30,17.7,58,1702,32,1007.4
2026-01-01 02:47:30,17.7,58,1748,32,1007.4
2026-01-01 02:52:30,17.7,58,1696,32,1007.3
2026-01-01 02:57:30,17.6,58,1713,32,1007.3
2026-01-01 03:02:30,17.6,58,1710,32,1007.3
2026-01-01 03:07:30,17.6,58,1678,32,1007.1
2026-01-01 03:12:30,17.6,58,1740,32,1007.1
2026-01-01 03:17:30,17.6,58,1719,31,1007.0
2026-01-01 03:22:30,17.5,58,1685,32,1006.9
2026-01-01 03:37:30,17.5,58,1713,32,1006.9
2026-01-01 03:42:30,17.5,58,1687,32,1006.9
2026-01-01 03:47:30,17.5,58,1728,32,1006.9
